,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF
,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,
m,0.3923,0.4337,0.9152,0.042,0.0952,0.3249,0.3659,0.8979,0.0552,0.1278,0.3746,0.4197,0.9107,0.0602,0.1347
mw,0.3923,0.4337,0.9152,0.042,0.0952,0.3293,0.3661,0.8962,0.0559,0.1276,0.3978,0.4572,0.9135,0.048,0.1048
