,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF
,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,
m,0.3923,0.4337,0.9152,0.042,0.0952,0.2458,0.2276,0.8571,0.0571,0.1148,0.3558,0.4294,0.8988,0.0643,0.1559
mw,0.3923,0.4337,0.9152,0.042,0.0952,0.2478,0.2264,0.8578,0.0558,0.1099,0.3593,0.4285,0.8997,0.0639,0.1539
