,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF
,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,
m,0.3923,0.4337,0.9152,0.042,0.0952,0.3974,0.42,0.9122,0.0383,0.0812,0.4451,0.4893,0.9204,0.0269,0.053
mw,0.3923,0.4337,0.9152,0.042,0.0952,0.3942,0.4217,0.9139,0.0346,0.0766,0.451,0.4969,0.9193,0.0237,0.0385
