,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF
,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,
m,0.3923,0.4337,0.9152,0.042,0.0952,0.4688,0.4929,0.9108,0.0265,0.0544,0.433,0.4698,0.9075,0.0429,0.1005
mw,0.3923,0.4337,0.9152,0.042,0.0952,0.4781,0.4994,0.9211,0.0228,0.0374,0.4777,0.5023,0.9153,0.0214,0.0296
