,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF
,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,
m,0.3923,0.4337,0.9152,0.042,0.0952,0.4385,0.4707,0.9124,0.045,0.0938,0.4752,0.4968,0.9144,0.0222,0.0334
mw,0.3923,0.4337,0.9152,0.042,0.0952,0.4763,0.499,0.9179,0.0232,0.0399,0.4643,0.4896,0.9141,0.026,0.0522
