,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF
,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,
m,0.3923,0.4337,0.9152,0.042,0.0952,0.4678,0.4999,0.9128,0.0238,0.0425,0.4452,0.4693,0.9138,0.0453,0.0829
mw,0.3923,0.4337,0.9152,0.042,0.0952,0.4714,0.5092,0.9164,0.0227,0.0373,0.5027,0.5092,0.9196,0.0192,0.0176
