,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF
,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,
m,0.3923,0.4337,0.9152,0.042,0.0952,0.4707,0.4972,0.9139,0.0234,0.0388,0.4784,0.4985,0.9149,0.026,0.0458
mw,0.3923,0.4337,0.9152,0.042,0.0952,0.4733,0.4949,0.9096,0.0329,0.0654,0.4869,0.4931,0.9139,0.0244,0.0377
