,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF
,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,
m,0.3923,0.4337,0.9152,0.042,0.0952,0.4715,0.4887,0.9083,0.0301,0.0581,0.4828,0.495,0.9139,0.0246,0.0423
mw,0.3923,0.4337,0.9152,0.042,0.0952,0.4743,0.4802,0.909,0.0358,0.0677,0.4754,0.4894,0.912,0.0355,0.0622
