,,,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF
DAG,Model,Feature,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
GES,LightGBM,mw,0.3923,0.4337,0.9152,0.042,0.0952,0.4088,0.4386,0.9147,0.0409,0.0839,0.4147,0.4792,0.9201,0.0318,0.0708
GES,LightGBM,m+mw,0.3923,0.4337,0.9152,0.042,0.0952,0.4047,0.4375,0.9103,0.0347,0.074,0.435,0.4618,0.9096,0.0363,0.0753
GES,Logit,original,0.1164,0.1358,0.8471,0.1734,0.3393,,,,,,,,,,
GES,Logit,m,0.1164,0.1358,0.8471,0.1734,0.3393,0.0918,0.0644,0.7788,0.2053,0.3982,0.118,0.1328,0.8472,0.1715,0.3358
GES,Logit,mw,0.1164,0.1358,0.8471,0.1734,0.3393,0.0835,0.0579,0.7584,0.2164,0.423,0.1174,0.1326,0.8457,0.1726,0.3378
GES,Logit,m+mw,0.1164,0.1358,0.8471,0.1734,0.3393,0.094,0.0651,0.7801,0.2039,0.3939,0.1194,0.1319,0.847,0.1711,0.3349
GES,RF,original,0.2888,0.4299,0.9067,0.0162,0.0052,,,,,,,,,,
GES,RF,m,0.2888,0.4299,0.9067,0.0162,0.0052,0.2686,0.4317,0.9121,0.0163,0.0049,0.3083,0.4554,0.9087,0.0158,0.0059
GES,RF,mw,0.2888,0.4299,0.9067,0.0162,0.0052,0.2511,0.4327,0.9112,0.0163,0.0052,0.3169,0.4579,0.911,0.0158,0.006
GES,RF,m+mw,0.2888,0.4299,0.9067,0.0162,0.0052,0.299,0.4365,0.9117,0.0162,0.0055,0.3302,0.4562,0.9118,0.0158,0.0056
GES,TabNet,original,0.3324,0.2916,0.8976,0.057,0.1452,,,,,,,,,,
GES,TabNet,m,0.3324,0.2916,0.8976,0.057,0.1452,0.2786,0.2253,0.8719,0.0647,0.1776,0.3495,0.3216,0.8947,0.0548,0.1492
GES,TabNet,mw,0.3324,0.2916,0.8976,0.057,0.1452,0.2736,0.2515,0.8842,0.075,0.1817,0.3062,0.3225,0.8962,0.061,0.1534
GES,TabNet,m+mw,0.3324,0.2916,0.8976,0.057,0.1452,0.2407,0.2056,0.8578,0.0732,0.194,0.2746,0.3396,0.9026,0.0504,0.1336
GES,XGBoost,original,0.3551,0.4408,0.9097,0.0593,0.1455,,,,,,,,,,
GES,XGBoost,m,0.3551,0.4408,0.9097,0.0593,0.1455,0.3793,0.467,0.916,0.041,0.0926,0.3774,0.4702,0.9201,0.0455,0.1196
GES,XGBoost,mw,0.3551,0.4408,0.9097,0.0593,0.1455,0.3835,0.4602,0.915,0.0369,0.0798,0.3974,0.4855,0.9225,0.0413,0.1012
GES,XGBoost,m+mw,0.3551,0.4408,0.9097,0.0593,0.1455,0.39,0.4592,0.917,0.0353,0.0733,0.3989,0.4775,0.9218,0.0398,0.0956
GOLEM,FF MLP,original,0.2226,0.3801,0.9174,0.0925,0.1816,,,,,,,,,,
GOLEM,FF MLP,m,0.2226,0.3801,0.9174,0.0925,0.1816,0.2076,0.233,0.8971,0.098,0.1996,0.2153,0.3825,0.9147,0.0988,0.1933
GOLEM,FF MLP,mw,0.2226,0.3801,0.9174,0.0925,0.1816,0.2095,0.248,0.8982,0.0948,0.1882,0.216,0.3614,0.912,0.0975,0.194
GOLEM,FF MLP,m+mw,0.2226,0.3801,0.9174,0.0925,0.1816,0.2085,0.2331,0.8941,0.0953,0.1975,0.2157,0.3524,0.9119,0.0956,0.1923
GOLEM,LightGBM,original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,
GOLEM,LightGBM,m,0.3923,0.4337,0.9152,0.042,0.0952,0.354,0.39,0.9013,0.0433,0.0937,0.423,0.4465,0.9073,0.0317,0.0577
GOLEM,LightGBM,mw,0.3923,0.4337,0.9152,0.042,0.0952,0.3671,0.394,0.8998,0.0354,0.069,0.4067,0.4432,0.9086,0.0421,0.0939
GOLEM,LightGBM,m+mw,0.3923,0.4337,0.9152,0.042,0.0952,0.3587,0.3948,0.8961,0.0321,0.0515,0.3975,0.4306,0.9049,0.0476,0.1016
GOLEM,Logit,original,0.1406,0.1913,0.8816,0.1477,0.2809,,,,,,,,,,
GOLEM,Logit,m,0.1406,0.1913,0.8816,0.1477,0.2809,0.1106,0.0979,0.8208,0.1808,0.3333,0.1598,0.2471,0.9033,0.1284,0.2362
GOLEM,Logit,mw,0.1406,0.1913,0.8816,0.1477,0.2809,0.1106,0.0979,0.8208,0.1808,0.3333,0.1598,0.2472,0.9033,0.1284,0.2362
GOLEM,Logit,m+mw,0.1406,0.1913,0.8816,0.1477,0.2809,0.1107,0.098,0.8211,0.1807,0.3329,0.1593,0.2475,0.9032,0.1283,0.236
GOLEM,RF,original,0.3142,0.4543,0.9118,0.0159,0.0055,,,,,,,,,,
GOLEM,RF,m,0.3142,0.4543,0.9118,0.0159,0.0055,0.2192,0.3643,0.8961,0.0173,0.0052,0.3019,0.4362,0.9084,0.0161,0.0056
GOLEM,RF,mw,0.3142,0.4543,0.9118,0.0159,0.0055,0.2322,0.3683,0.8934,0.0173,0.0056,0.3027,0.4395,0.9088,0.0161,0.0058
GOLEM,RF,m+mw,0.3142,0.4543,0.9118,0.0159,0.0055,0.2649,0.3742,0.8948,0.0171,0.0064,0.3206,0.4285,0.9081,0.0163,0.0056
GOLEM,TabNet,original,0.3324,0.2916,0.8976,0.057,0.1452,,,,,,,,,,
GOLEM,TabNet,m,0.3324,0.2916,0.8976,0.057,0.1452,0.2078,0.1672,0.8583,0.0929,0.2241,0.2609,0.3385,0.8806,0.0733,0.1863
GOLEM,TabNet,mw,0.3324,0.2916,0.8976,0.057,0.1452,0.0974,0.1452,0.8309,0.0764,0.2121,0.3415,0.3429,0.8946,0.0557,0.1564
GOLEM,TabNet,m+mw,0.3324,0.2916,0.8976,0.057,0.1452,0.0221,0.0771,0.7712,0.1961,0.4023,0.2158,0.3084,0.9009,0.0611,0.1591
GOLEM,XGBoost,original,0.3551,0.4408,0.9097,0.0593,0.1455,,,,,,,,,,
GOLEM,XGBoost,m,0.3551,0.4408,0.9097,0.0593,0.1455,0.3307,0.4001,0.904,0.0442,0.0932,0.3528,0.448,0.9144,0.0453,0.1125
GOLEM,XGBoost,mw,0.3551,0.4408,0.9097,0.0593,0.1455,0.3263,0.3903,0.9045,0.0466,0.1028,0.3583,0.4464,0.915,0.0473,0.1172
GOLEM,XGBoost,m+mw,0.3551,0.4408,0.9097,0.0593,0.1455,0.3163,0.401,0.9027,0.0593,0.1295,0.3695,0.4489,0.9151,0.0516,0.12
