DAG,k,Model,Feature,Set,f1,AUPRC,AUROC,Brier,ECE
GOLEM,1,Logit,original,O,0.116419832827323,0.13023074092708337,0.8490084611597067,0.17198350331315498,0.33457415393638723
GOLEM,1,Logit,m,F,0.06657003807944253,0.0401859896742965,0.6718877696585374,0.23171191359318902,0.4398810880343299
GOLEM,1,Logit,m,OF,0.11648029764697312,0.13009668253978277,0.849037018584345,0.17204962791816772,0.33437393002741833
GOLEM,1,Logit,mw,F,0.06677435723345547,0.0401859896742965,0.6718877696585374,0.2318643799646388,0.43641042524992335
GOLEM,1,Logit,mw,OF,0.11574538895677448,0.12942230697094792,0.8487789603757449,0.17227600346215607,0.3344349854894723
GOLEM,1,Logit,m+mw,F,0.06671702727901664,0.0401859896742965,0.6718877696585374,0.23197690325372186,0.43471589085581874
GOLEM,1,Logit,m+mw,OF,0.11599457192114818,0.13130826931665482,0.84896804292858,0.17218284662409733,0.3343450936320368
GOLEM,1,RandomForest,original,O,0.31424779427767824,0.4542154632477241,0.9112259482556265,0.0158712891856445,0.005424093281337729
GOLEM,1,RandomForest,m,F,0.03990496502037015,0.031219346956008403,0.5352754888632685,0.03611583503348855,0.0437136970979871
GOLEM,1,RandomForest,m,OF,0.25882819967333215,0.45081648320732226,0.9103266776390644,0.01599344821967736,0.005698621594431795
GOLEM,1,RandomForest,mw,F,0.04137182234702672,0.031836382802720914,0.5322832929765786,0.036239762806471856,0.04388715780969893
GOLEM,1,RandomForest,mw,OF,0.25882819967333215,0.4508427989847288,0.9105891200219624,0.015993217158197372,0.005697922567442349
GOLEM,1,RandomForest,m+mw,F,0.03894861999480123,0.03150681028295814,0.5332311413640209,0.03590306879001652,0.04369104990528147
GOLEM,1,RandomForest,m+mw,OF,0.2553195789133881,0.4463548082747594,0.9150729371905865,0.01608716843932221,0.004987314348310518
GOLEM,1,XGBoost,original,O,0.4448072841647158,0.4926046867005952,0.9227263926424693,0.014998535010819675,0.00871156269105181
GOLEM,1,XGBoost,m,F,0.0,0.03474964956446734,0.6500043921838372,0.02171607370442484,0.0008101588539207418
GOLEM,1,XGBoost,m,OF,0.4484491645118437,0.4931128244793017,0.9193839612694583,0.015021451083344291,0.008705505337514862
GOLEM,1,XGBoost,mw,F,0.0,0.03474964956446734,0.6500043921838372,0.02171607370442484,0.0008101588539207418
GOLEM,1,XGBoost,mw,OF,0.4484491645118437,0.4931128244793017,0.9193839612694583,0.015021451083344291,0.008705505337514862
GOLEM,1,XGBoost,m+mw,F,0.0,0.03474964956446734,0.6500043921838372,0.02171607370442484,0.0008101588539207418
GOLEM,1,XGBoost,m+mw,OF,0.46391610274079476,0.4887755747223905,0.9207973028199918,0.01508079810557707,0.008963788743346128
GOLEM,1,LightGBM,original,O,0.46713795743990616,0.44554695977400216,0.9079043799078557,0.018054409706908907,0.01475990032229794
GOLEM,1,LightGBM,m,F,0.055181769619091006,0.031206178076243485,0.6087387837307692,0.21619607967223042,0.3315101488747452
GOLEM,1,LightGBM,m,OF,0.46641608156522896,0.45028971827641395,0.9101260985145803,0.018139388129488267,0.015537984790544353
GOLEM,1,LightGBM,mw,F,0.0551434119499533,0.031166691917649775,0.6083516106717691,0.21622192056903203,0.33149502082845117
GOLEM,1,LightGBM,mw,OF,0.46641608156522896,0.45029064316294365,0.9101275645537822,0.01813942602644248,0.015537599252408909
GOLEM,1,LightGBM,m+mw,F,0.055181769619091006,0.031206178076243485,0.6087387837307692,0.21619607967223042,0.3315101488747452
GOLEM,1,LightGBM,m+mw,OF,0.4802342123974147,0.45368188578216573,0.9089913716128581,0.017985622477932575,0.015815462067163343
GOLEM,2,Logit,original,O,0.116419832827323,0.13023074092708337,0.8490084611597067,0.17198350331315498,0.33457415393638723
GOLEM,2,Logit,m,F,0.06662675044781363,0.040188885191869875,0.6720552534827069,0.2316532161982975,0.43980749340283454
