DAG,k,Model,Feature,Set,f1,AUPRC,AUROC,Brier,ECE
GOLEM,22,XGBoost,m,OF,0.47589606626237196,0.5433481445907534,0.9308828316141255,0.014285189174915605,0.009476824502536544
GOLEM,28,RandomForest,mw,OF,0.3581018597545624,0.4935943502493402,0.9236931813988342,0.015220348996492985,0.006281507172216992
GOLEM,16,LightGBM,m,OF,0.5062035094435398,0.5001174510972544,0.9229679491876179,0.016585394366396437,0.013842729253875552
GOLEM,26,Logit,m+mw,OF,0.1194312999546983,0.14186225314873216,0.8520261919183868,0.16888780485476784,0.3286537584832454
