,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF
,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
original,0.3508,0.4346,0.9083,0.0523,0.1345,,,,,,,,,,
m,0.3508,0.4346,0.9083,0.0523,0.1345,0.36,0.3773,0.9001,0.0596,0.1338,0.3827,0.4444,0.9098,0.0463,0.111
mw,0.3508,0.4346,0.9083,0.0523,0.1345,0.3655,0.3831,0.9014,0.0464,0.1113,0.3932,0.4178,0.9131,0.0595,0.1328
