,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF
,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
original,0.4566,0.5032,0.9148,0.0148,0.0076,,,,,,,,,,
m,0.4566,0.5032,0.9148,0.0148,0.0076,0.4348,0.4667,0.9079,0.0159,0.0081,0.485,0.4825,0.9133,0.0154,0.0081
mw,0.4566,0.5032,0.9148,0.0148,0.0076,0.4643,0.4692,0.9085,0.0155,0.0083,0.4964,0.4944,0.9141,0.0152,0.0079
