Unnamed: 0,leverage_ratio,asset_liabilities,roe,asset_turnover,debt_ratio,debt_ratio2,roa,capitalization_ratio,longtermdebt_invcap,totaldebt_invcap,cash_debt,debt_ebitda,rect_turn,label
15,0.12764257317325808,0.32831653408698885,0.018125177003681676,0.11,0.928,0.062,0.023,0.27,0.08843760235833607,0.11564751524108628,0.015,0.006610035235311791,0.011201170775638857,0
16,0.12500863183024397,0.3280828916607641,0.021806853582554516,0.099,0.927,0.061,0.023,0.2239999999999999,0.07337045528987877,0.11878810271568448,0.035,0.006555406844937314,0.010300574130361366,0
17,0.12151643993725893,0.3286758454518814,0.03625035400736335,0.094,0.925,0.0559999999999999,0.03,0.153,0.05011464133639044,0.11583225568076853,-0.002,0.0046558287250975244,0.009850275807722617,0
21,0.11906006767354912,0.3302655494771878,0.033135089209855535,0.094,0.923,0.066,0.03,0.356,0.1166066164428431,0.1029004249030113,0.016,0.005875035073909729,0.011257458065968706,0
22,0.12936893922205014,0.3282523750186042,0.0478617955253469,0.095,0.929,0.059,0.032,0.417,0.13658696364231904,0.08959911324588954,0.018,0.005080440304826418,0.006191601936282788,0
23,0.13403506002821375,0.32744346992562123,0.04984423676012461,0.099,0.931,0.103,0.034,0.5529999999999999,0.1811333114968883,0.12469979678551638,-0.017,0.008219089642705495,0.0064730383879320055,0
24,0.1350511497597885,0.3272725591580238,0.04389691305579156,0.1,0.932,0.133,0.033,0.62,0.2030789387487717,0.13670792536486237,0.006,0.010759309795118705,0.006585612968591687,0
25,0.13422249405636832,0.32741200714385693,0.02067403001982441,0.105,0.932,0.127,0.0289999999999999,0.575,0.18833933835571567,0.14539072602992797,-0.005,0.011543972129588475,0.006923336710570754,0
26,0.1406939005021259,0.3263811723762366,-0.0002832058906825262,0.109,0.934,0.136,0.018,0.524,0.17163445791025222,0.18215407352669502,-0.03,0.019785409750174437,0.007092198581560284,0
27,0.18172222277027494,0.32155043682813916,-0.03936561880487114,0.1119999999999999,0.949,0.1689999999999999,0.005,0.539,0.1765476580412709,0.2791428043598744,-0.0579999999999999,0.09712182875986104,0.007429922323539346,0
28,0.21953457171324567,0.3187002891616749,0.03540073633531577,0.127,0.957,0.209,0.011,0.237,0.07762856207009498,0.6859412525401811,-0.1,0.052011193853809465,0.009793988517392773,0
30,0.2334737444386351,0.31726694547318907,0.04842820730671198,0.121,0.959,0.148,0.027,0.562,0.18408123157549952,0.2965084056900056,0.075,0.013602469203244925,0.010131712259371834,0
31,0.18884471584014836,0.31824580596708674,0.06711979609175871,0.113,0.95,0.168,0.033,0.5760000000000001,0.18866688503111695,0.26565675226307045,-0.078,0.012946928518751196,0.009231115614094332,0
32,0.14610975742090776,0.3247366938093357,0.04134806003964882,0.099,0.937,0.1169999999999999,0.035,0.5720000000000001,0.187356698329512,0.14576020690929248,0.237,0.008325863314801066,0.008105369807497468,0
33,0.18832187355108565,0.32411556415469217,0.028603794958935114,0.09,0.95,0.162,0.0289999999999999,0.604,0.19783819194235178,0.23813042675041568,-0.114,0.01487630394243161,0.00748620961386919,0
34,0.2089001568526867,0.31998669932040724,0.029453412630982723,0.099,0.955,0.2,0.026,0.6970000000000001,0.22830003275466756,0.24773692961389251,-0.076,0.019353348844485387,0.008049082517167624,0
35,0.21398060551056042,0.31930293624383943,0.038232795242141036,0.105,0.956,0.181,0.0279999999999999,0.738,0.24172944644611857,0.19933493441714392,0.064,0.016770915844964627,0.007711358775188557,0
36,0.18991999526482453,0.3196161281402941,0.022373265363919568,0.095,0.951,0.138,0.024,0.703,0.230265312807075,0.15333456493626457,0.057,0.014459141688662872,0.006754474839581223,0
37,0.16175556629738877,0.3231732079564079,0.021806853582554516,0.081,0.943,0.078,0.026,0.457,0.14968883065836883,0.13689266580454462,-0.0139999999999999,0.007486572589956819,0.005572441742654509,0
38,0.16289990036401658,0.3234421122819922,-0.017558765222316624,0.064,0.943,0.129,0.017,0.5579999999999999,0.1827710448738945,0.18381673748383523,-0.013,0.019537098884835902,0.004502983226387482,0
39,0.16262368179620987,0.3237637696660234,0.0237892948173322,0.062,0.943,0.18,0.027,0.611,0.2001310186701605,0.22649177905043416,-0.023,0.01719056120738675,0.005065856129685917,0
40,0.16571141078633506,0.3228078441753866,0.04134806003964882,0.083,0.944,0.17,0.035,0.685,0.22436947264985263,0.17642711989654536,0.024,0.011906505992982735,0.007429922323539346,0
41,0.1657212757351853,0.3246346943891222,0.011045029736618521,0.075,0.944,0.237,0.026,0.768,0.25155584670815595,0.18067615000923704,-0.026,0.022482065747750926,0.006810762129911067,0
42,0.18671388688849647,0.3206275832783026,0.04701217785329935,0.079,0.95,0.23,0.023,0.775,0.2538486734359646,0.1904673933123961,0.043,0.023865157267686562,0.00686704942024091,0
43,0.16239678797265436,0.32149388604501067,0.048145001416029454,0.076,0.943,0.217,0.022,0.738,0.24172944644611857,0.18363199704415298,-0.006,0.024664718254076644,0.006585612968591687,0
